,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Sex_F,Sex_I,Sex_M,Sex
785,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15,0,0,1,M
786,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9,1,0,0,F
787,0.495,0.385,0.135,0.7090000000000001,0.21100000000000002,0.1375,0.262,12,0,0,1,M
788,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9,1,0,0,F
789,0.6,0.465,0.165,0.8875,0.309,0.24600000000000002,0.262,12,1,0,0,F
790,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10,1,0,0,F
791,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10,1,0,0,F
792,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9,0,0,1,M
793,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12,0,0,1,M
794,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12,0,0,1,M
795,0.515,0.405,0.145,0.695,0.215,0.1635,0.23399999999999999,15,0,0,1,M
796,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11,0,0,1,M
797,0.44,0.335,0.11,0.39399999999999996,0.157,0.096,0.122,9,0,0,1,M
798,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11,0,0,1,M
799,0.425,0.345,0.11,0.3665,0.125,0.081,0.11699999999999999,11,1,0,0,F
800,0.46,0.34,0.135,0.495,0.1655,0.11699999999999999,0.185,10,0,0,1,M
801,0.45,0.335,0.125,0.349,0.11900000000000001,0.1055,0.115,10,0,0,1,M
802,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9,0,0,1,M
803,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7,0,1,0,I
804,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10,0,0,1,M
805,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,0,0,1,M
806,0.28,0.205,0.07,0.1015,0.040999999999999995,0.03,0.03,6,0,1,0,I
807,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15,1,0,0,F
808,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10,1,0,0,F
809,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12,1,0,0,F
810,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12,0,0,1,M
811,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21,1,0,0,F
812,0.235,0.175,0.055,0.067,0.027000000000000003,0.0125,0.018000000000000002,6,0,1,0,I
813,0.255,0.185,0.06,0.08800000000000001,0.0365,0.021,0.023,5,0,1,0,I
814,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7,0,1,0,I
815,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7,0,1,0,I
816,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6,0,1,0,I
817,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6,0,1,0,I
818,0.35,0.25,0.07,0.18,0.0655,0.048,0.054000000000000006,6,0,1,0,I
819,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7,0,1,0,I
820,0.365,0.275,0.135,0.24,0.10800000000000001,0.0445,0.0735,7,0,1,0,I
821,0.37,0.275,0.14,0.2215,0.09699999999999999,0.0455,0.0615,6,0,1,0,I
822,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7,0,1,0,I
823,0.385,0.29,0.095,0.312,0.14300000000000002,0.0635,0.086,6,0,1,0,I
824,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7,0,1,0,I
825,0.395,0.29,0.095,0.319,0.138,0.08,0.08199999999999999,7,0,1,0,I
826,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6,0,1,0,I
827,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6,0,1,0,I
828,0.41,0.325,0.1,0.39399999999999996,0.20800000000000002,0.0655,0.106,6,0,1,0,I
829,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7,0,1,0,I
830,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6,0,0,1,M
831,0.425,0.325,0.1,0.39799999999999996,0.1185,0.0645,0.0945,6,0,1,0,I
832,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9,0,1,0,I
833,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7,0,1,0,I
834,0.445,0.325,0.1,0.37799999999999995,0.1795,0.1,0.08900000000000001,7,0,1,0,I
835,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8,0,1,0,I
836,0.47,0.375,0.12,0.5805,0.266,0.0935,0.16899999999999998,8,0,0,1,M
837,0.475,0.365,0.125,0.5465,0.22899999999999998,0.1185,0.172,9,0,1,0,I
838,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8,1,0,0,F
839,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9,0,1,0,I
840,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8,0,0,1,M
841,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9,1,0,0,F
842,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9,0,0,1,M
843,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8,0,0,1,M
844,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8,0,0,1,M
845,0.54,0.405,0.125,0.8909999999999999,0.4815,0.1915,0.20199999999999999,9,0,0,1,M
846,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11,1,0,0,F
847,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10,1,0,0,F
848,0.55,0.43,0.125,0.9229999999999999,0.4035,0.175,0.28300000000000003,8,1,0,0,F
849,0.55,0.45,0.15,1.0145,0.40700000000000003,0.2015,0.2875,10,0,0,1,M
850,0.55,0.45,0.15,0.875,0.36200000000000004,0.1755,0.2765,10,1,0,0,F
851,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9,0,0,1,M
852,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10,0,0,1,M
853,0.57,0.455,0.15,0.9520000000000001,0.3895,0.2155,0.2745,9,0,0,1,M
854,0.57,0.435,0.13,0.7535,0.349,0.1755,0.19399999999999998,10,0,0,1,M
855,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9,1,0,0,F
856,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9,0,0,1,M
857,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12,0,0,1,M
858,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10,1,0,0,F
859,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,8,1,0,0,F
860,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6,1,0,0,F
861,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12,1,0,0,F
862,0.6,0.475,0.175,1.3445,0.5489999999999999,0.2875,0.36,11,0,0,1,M
863,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10,1,0,0,F
864,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11,0,0,1,M
865,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10,1,0,0,F
866,0.605,0.455,0.16,1.1035,0.42100000000000004,0.3015,0.325,9,0,0,1,M
867,0.615,0.5,0.175,1.3769999999999998,0.5585,0.33,0.292,12,1,0,0,F
868,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10,1,0,0,F
869,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9,0,0,1,M
870,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12,0,0,1,M
871,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11,1,0,0,F
872,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9,0,0,1,M
873,0.625,0.49,0.155,1.2085,0.465,0.162,0.41100000000000003,11,1,0,0,F
874,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11,1,0,0,F
875,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14,0,0,1,M
876,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9,0,0,1,M
877,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10,1,0,0,F
878,0.635,0.485,0.165,1.2945,0.6679999999999999,0.2605,0.2715,9,1,0,0,F
879,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8,1,0,0,F
880,0.65,0.525,0.175,1.4715,0.675,0.315,0.39899999999999997,11,0,0,1,M
881,0.655,0.52,0.165,1.4095,0.586,0.29100000000000004,0.405,9,0,0,1,M
882,0.655,0.58,0.205,2.0805,0.9590000000000001,0.3415,0.601,17,0,0,1,M
883,0.66,0.53,0.17,1.3905,0.5905,0.212,0.45299999999999996,15,0,0,1,M
884,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10,0,0,1,M
885,0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,10,1,0,0,F
886,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12,1,0,0,F
887,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9,1,0,0,F
888,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11,1,0,0,F
889,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11,1,0,0,F
890,0.695,0.56,0.22,1.834,0.8455,0.42200000000000004,0.455,11,1,0,0,F
891,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17,0,0,1,M
892,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6,0,1,0,I
893,0.24,0.175,0.055,0.0705,0.025,0.013999999999999999,0.021,5,0,1,0,I
894,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3,0,1,0,I
895,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027000000000000003,6,0,1,0,I
896,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4,0,1,0,I
897,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,0,1,0,I
898,0.28,0.12,0.075,0.11699999999999999,0.0455,0.028999999999999998,0.0345,4,0,1,0,I
899,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5,0,1,0,I
900,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4,0,1,0,I
901,0.3,0.23,0.095,0.1385,0.055999999999999994,0.0365,0.037000000000000005,6,0,1,0,I
902,0.305,0.22,0.07,0.141,0.062,0.031,0.037000000000000005,5,0,1,0,I
903,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6,0,1,0,I
904,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04,8,0,1,0,I
905,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5,0,1,0,I
906,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6,0,1,0,I
907,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6,0,1,0,I
908,0.335,0.25,0.075,0.1825,0.0705,0.044000000000000004,0.055,7,0,1,0,I
909,0.335,0.25,0.075,0.18600000000000003,0.0945,0.038,0.0445,7,0,1,0,I
910,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5,0,1,0,I
911,0.34,0.25,0.07,0.2225,0.10400000000000001,0.0425,0.055,7,0,1,0,I
912,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7,0,1,0,I
913,0.37,0.29,0.095,0.249,0.1045,0.057999999999999996,0.067,6,0,1,0,I
914,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7,0,1,0,I
915,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6,0,1,0,I
916,0.385,0.265,0.08,0.251,0.124,0.037000000000000005,0.07,6,0,1,0,I
917,0.41,0.31,0.09,0.33899999999999997,0.155,0.0695,0.09,7,0,1,0,I
918,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7,0,1,0,I
919,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6,0,1,0,I
920,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6,0,1,0,I
921,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1,5,0,1,0,I
922,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6,0,1,0,I
923,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,6,0,1,0,I
924,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,6,0,1,0,I
925,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7,0,1,0,I
926,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7,0,1,0,I
927,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8,0,1,0,I
928,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6,0,1,0,I
929,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,0,1,0,I
930,0.44,0.325,0.09,0.35,0.14800000000000002,0.067,0.105,7,0,1,0,I
931,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6,1,0,0,F
932,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7,0,1,0,I
933,0.45,0.36,0.13,0.478,0.191,0.127,0.13699999999999998,7,0,1,0,I
934,0.45,0.355,0.105,0.4445,0.19699999999999998,0.09300000000000001,0.1335,8,0,1,0,I
935,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7,0,1,0,I
936,0.45,0.335,0.105,0.447,0.2335,0.153,0.11900000000000001,7,0,1,0,I
937,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7,0,1,0,I
938,0.455,0.375,0.12,0.49700000000000005,0.2355,0.1055,0.1295,6,0,1,0,I
939,0.46,0.36,0.1,0.4635,0.2325,0.09300000000000001,0.115,7,0,1,0,I
940,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7,0,1,0,I
941,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7,0,1,0,I
942,0.465,0.37,0.115,0.534,0.261,0.098,0.14300000000000002,7,0,1,0,I
943,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7,0,1,0,I
944,0.465,0.35,0.125,0.48200000000000004,0.23,0.106,0.1095,6,1,0,0,F
945,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8,0,0,1,M
946,0.47,0.365,0.12,0.5820000000000001,0.29,0.092,0.146,8,1,0,0,F
947,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9,0,0,1,M
948,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6,1,0,0,F
949,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6,0,0,1,M
950,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6,0,0,1,M
951,0.48,0.36,0.1,0.439,0.19399999999999998,0.099,0.115,8,0,0,1,M
952,0.48,0.365,0.12,0.6015,0.312,0.11699999999999999,0.14,7,0,0,1,M
953,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7,1,0,0,F
954,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8,0,0,1,M
955,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8,0,0,1,M
956,0.495,0.4,0.135,0.61,0.272,0.1435,0.14400000000000002,7,0,0,1,M
957,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6,0,0,1,M
958,0.5,0.385,0.12,0.56,0.2835,0.10300000000000001,0.135,8,0,1,0,I
959,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7,0,0,1,M
960,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7,0,0,1,M
961,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9,1,0,0,F
962,0.505,0.39,0.15,0.685,0.36200000000000004,0.131,0.156,8,0,1,0,I
963,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9,0,0,1,M
964,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8,0,1,0,I
965,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8,0,0,1,M
966,0.51,0.375,0.1,0.5785,0.23800000000000002,0.1225,0.175,7,0,1,0,I
967,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7,0,1,0,I
968,0.51,0.405,0.15,0.7035,0.34700000000000003,0.134,0.1885,8,0,0,1,M
969,0.51,0.41,0.145,0.7959999999999999,0.3865,0.1815,0.1955,8,0,0,1,M
970,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23,8,1,0,0,F
971,0.515,0.39,0.155,0.7125,0.3695,0.13699999999999998,0.155,7,0,0,1,M
972,0.525,0.415,0.14,0.7240000000000001,0.3475,0.17300000000000001,0.175,8,1,0,0,F
973,0.525,0.4,0.14,0.7325,0.33399999999999996,0.1575,0.17,11,0,0,1,M
974,0.53,0.425,0.13,0.7585,0.325,0.19699999999999998,0.205,8,1,0,0,F
975,0.53,0.425,0.15,0.8495,0.32799999999999996,0.23199999999999998,0.20199999999999999,8,1,0,0,F
976,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000003,7,0,0,1,M
977,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,1,0,0,F
978,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8,0,0,1,M
979,0.535,0.435,0.14,0.8740000000000001,0.3735,0.22899999999999998,0.2195,8,0,0,1,M
980,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218,9,1,0,0,F
981,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9,1,0,0,F
982,0.56,0.455,0.16,0.9670000000000001,0.4525,0.207,0.27399999999999997,9,1,0,0,F
983,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,1,0,0,F
984,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10,0,0,1,M
985,0.57,0.45,0.155,1.1935,0.513,0.21,0.34299999999999997,10,0,0,1,M
986,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8,1,0,0,F
987,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8,0,0,1,M
988,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7,0,0,1,M
989,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9,0,0,1,M
990,0.575,0.46,0.16,1.103,0.5379999999999999,0.221,0.249,9,1,0,0,F
991,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7,1,0,0,F
992,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,1,0,0,F
993,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10,0,0,1,M
994,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8,1,0,0,F
995,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9,0,0,1,M
996,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11,0,0,1,M
997,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8,0,0,1,M
998,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8,1,0,0,F
999,0.595,0.47,0.155,1.121,0.4515,0.17800000000000002,0.155,11,1,0,0,F
1000,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11,1,0,0,F
1001,0.595,0.475,0.165,1.213,0.621,0.2435,0.27399999999999997,9,0,0,1,M
1002,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9,1,0,0,F
1003,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9,0,0,1,M
1004,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9,1,0,0,F
1005,0.605,0.475,0.155,1.161,0.5720000000000001,0.2455,0.275,9,0,0,1,M
1006,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11,0,0,1,M
1007,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11,0,0,1,M
1008,0.61,0.475,0.155,1.168,0.5539999999999999,0.239,0.3295,10,0,0,1,M
1009,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8,1,0,0,F
1010,0.62,0.51,0.18,1.3315,0.594,0.276,0.38799999999999996,11,1,0,0,F
1011,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10,1,0,0,F
1012,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10,0,0,1,M
1013,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10,1,0,0,F
1014,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,1,0,0,F
1015,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9,1,0,0,F
1016,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8,0,0,1,M
1017,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11,1,0,0,F
1018,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,0,0,1,M
1019,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,0,0,1,M
1020,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10,0,0,1,M
1021,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10,0,0,1,M
1022,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11,1,0,0,F
1023,0.64,0.5,0.175,1.3940000000000001,0.4935,0.29100000000000004,0.4,10,1,0,0,F
1024,0.645,0.5,0.155,1.2205,0.6145,0.23600000000000002,0.3185,10,1,0,0,F
1025,0.645,0.52,0.175,1.636,0.779,0.342,0.43200000000000005,11,0,0,1,M
1026,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,8,0,0,1,M
1027,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8,1,0,0,F
1028,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11,0,0,1,M
1029,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10,1,0,0,F
1030,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,1,0,0,F
1031,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9,0,0,1,M
1032,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11,0,0,1,M
1033,0.65,0.525,0.185,1.6219999999999999,0.6645,0.3225,0.47700000000000004,10,0,0,1,M
1034,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9,1,0,0,F
1035,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.40299999999999997,10,1,0,0,F
1036,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11,1,0,0,F
1037,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9,0,0,1,M
1038,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10,0,0,1,M
1039,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6,1,0,0,F
1040,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11,0,0,1,M
1041,0.675,0.57,0.225,1.587,0.7390000000000001,0.2995,0.435,10,1,0,0,F
1042,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.5529999999999999,12,1,0,0,F
1043,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12,0,0,1,M
1044,0.69,0.525,0.175,1.7005,0.8255,0.36200000000000004,0.405,8,0,0,1,M
1045,0.69,0.505,0.2,1.8719999999999999,0.893,0.4015,0.48,10,0,0,1,M
1046,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,1,0,0,F
1047,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,1,0,0,F
1048,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11,0,0,1,M
1049,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10,0,0,1,M
1050,0.715,0.525,0.185,1.56,0.6655,0.38299999999999995,0.405,11,1,0,0,F
1051,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11,1,0,0,F
1052,0.765,0.6,0.22,2.302,1.0070000000000001,0.509,0.6205,12,0,0,1,M
1053,0.185,0.13,0.045,0.028999999999999998,0.012,0.0075,0.0095,4,0,1,0,I
1054,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011000000000000001,3,0,1,0,I
1055,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4,0,1,0,I
1056,0.2,0.155,0.04,0.0435,0.0155,0.009000000000000001,0.006999999999999999,4,0,1,0,I
1057,0.225,0.165,0.055,0.059000000000000004,0.027000000000000003,0.0125,0.015,4,0,1,0,I
1058,0.245,0.18,0.065,0.071,0.03,0.013000000000000001,0.0215,4,0,1,0,I
1059,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,0,1,0,I
1060,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7,0,1,0,I
1061,0.275,0.195,0.065,0.106,0.054000000000000006,0.02,0.027999999999999997,6,0,1,0,I
1062,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5,0,1,0,I
1063,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,0,1,0,I
1064,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,0,1,0,I
1065,0.315,0.235,0.055,0.151,0.065,0.027000000000000003,0.039,6,0,1,0,I
1066,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,0,1,0,I
1067,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,0,1,0,I
1068,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,0,1,0,I
1069,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,0,1,0,I
1070,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,0,1,0,I
1071,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,0,1,0,I
1072,0.4,0.32,0.095,0.348,0.19399999999999998,0.053,0.087,6,0,1,0,I
1073,0.405,0.3,0.11,0.32,0.172,0.044000000000000004,0.09300000000000001,7,0,1,0,I
1074,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,0,1,0,I
1075,0.41,0.325,0.1,0.3245,0.132,0.07200000000000001,0.106,6,0,1,0,I
1076,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,0,1,0,I
1077,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7,0,1,0,I
1078,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6,0,1,0,I
1079,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,0,1,0,I
1080,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,0,0,1,M
1081,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6,0,1,0,I
1082,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,0,1,0,I
1083,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,0,1,0,I
1084,0.445,0.345,0.105,0.409,0.1675,0.1015,0.11699999999999999,7,0,1,0,I
1085,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,0,1,0,I
1086,0.445,0.335,0.11,0.41100000000000003,0.1985,0.0935,0.109,8,0,1,0,I
1087,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,0,1,0,I
1088,0.45,0.34,0.12,0.4925,0.24100000000000002,0.1075,0.12,6,0,1,0,I
1089,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,0,1,0,I
1090,0.45,0.33,0.1,0.41100000000000003,0.1945,0.1,0.098,6,0,1,0,I
1091,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,0,1,0,I
1092,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,0,1,0,I
1093,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,0,0,1,M
1094,0.47,0.38,0.125,0.4845,0.21100000000000002,0.1075,0.142,6,0,1,0,I
1095,0.475,0.35,0.11,0.4565,0.20600000000000002,0.099,0.13,6,0,1,0,I
1096,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,0,1,0,I
1097,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,0,1,0,I
1098,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,0,0,1,M
